id	name	id_brands	id_category1	id_category2	id_category3	img	id_color	img_clothers	id_size	img_slide	short_description	full_description	visible	hits	new1	sale	price	date
1	Футболка	9	1	2	0	futbolka.jpg	0		0		Марка BODYFLIRT Материал 100% хлопок Цвет слоновая кость	Обещает хорошее настроение – футболка с подмигивающим смайликом из блестящих камешков. Круглый вырез. Рукав 3/4. Длина ок. 66 см (разм. 40/42). Машинная стирка. 100% хлопок	1	1	0	0	129	0000-00-00 00:00:00
2	Футболка-стретч с длинным рукавом	10	1	2	0	futbolka-stretch-s-dlinnym-rukavom.jpg	0		0		Марка bpc bonprix collection Материал 50% вискоза, 50% хлопок Длина 66 см (размер 40/42) Длина рукавов длинный рукав Вырез круглый Цвет кленово-красный с рисунком	Длина ок. 66 см (разм. 40/42). Машинная стирка. 50% вискоза, 50% хлопок	1	0	1	0	249	0000-00-00 00:00:00
3	Футболка	9	1	2	0	futbolka (1).jpg	0		0		Марка BODYFLIRT Материал 95% хлопок, 5% эластан Цвет красный	Прекрасная модель для офиса или в свободное время. Покрой без рукавов. Высокий ворот с декоративной молнии в воротниковой зоне. Мягкий хлопок. Длина ок. 66 см (разм. 40/42). Машинная стирка. 95% хлопок, 5% эластан	1	0	0	1	179	0000-00-00 00:00:00
4	Футболка	9	1	2	0	futbolka (6).jpg	0		0	l;k	Материал 96% вискоза, 4% эластан Длина 64 см (размер 36/38) Длина рукавов 3/4 Цвет цвет белой шерсти	Соблазнительный женственный стиль! Футболка с очень красивым декольте дизайна в узел. Украшена декоративной аппликацией. Рукава 3/4. Узкий силуэт. Длина ок. 56 см (разм. 38). 96% вискоза, 4% эластан	0	0	NULL	NULL	369	0000-00-00 00:00:00
5	Платье с кружевом	9	1	7	0	plate-s-kruzhevom.jpg	синий; красный; черный	plate-s-kruzhevom-krasnyj-svetlo-korichnevyj.jpg; plate-s-kruzhevom-chernyj-svetlo-korichnevyj.jpg	32/34; 34/36; 44/46	plate-s-kruzhevom.jpg; plate-s-kruzhevom-krasnyj-svetlo-korichnevyj.jpg; plate-s-kruzhevom-chernyj-svetlo-korichnevyj.jpg	Материал верх: 94% полиэстер, 6% эластан, подкладка: 100% полиэстер, кружево: 100% полиамид Длина 98 см Длина прикрывает колено Цвет синий	Must-Have в гардеробе каждой модницы: облегающее платье с глубоким V-вырезом и кружевной вставкой в талии. Длина ок. 98 см (разм. 36/38). верх: 96% полиэстер, 4% эластан, подкладка: 100% полиэстер, кружево: 100% полиамид	1	0	0	0	679	0000-00-00 00:00:00
6	Платье	0	1	7	0	plate.jpg	черный; красный; кремовый; белый; черный/красный	plate-chernyj-bezhevyj.jpg; plate-krasnyj-bezhevyj.jpg; plate-kremovyj.jpg; plate-tsvet-shampanskogo-bezhevyj.jpg; plate-chernyj-madzhenta.jpg	32; 34; 36; 38; 40; 42; 44; 46	plate.jpg; plate-chernyj-bezhevyj.jpg; plate-krasnyj-bezhevyj.jpg; plate-kremovyj.jpg; plate-tsvet-shampanskogo-bezhevyj.jpg; plate-chernyj-madzhenta.jpg	Материал верх: 100% полиамид, подкладка: 100% полиэстер Длина 152 см (размер 38) Длина рукавов 7/8 Длина длинный/длинная Цвет красный/бежевый	Для гламурного выхода: вечернее платье в пол! Выполнено из очень красивого, прозрачного кружева. Рукава 3/4. Небольшой вырез-лодочка. Очень облегающий покрой. Длина ок. 148 см (разм. 42). 100% полиэстер	1	0	0	0	1299	0000-00-00 00:00:00
7	Платье	0	1	7	0	plate (1).jpg	черный; красный; синий	plate-chernyj.jpg; plate-krasnyj-belyj.jpg; plate-sinij-belyj.jpg	32; 34; 36; 38; 40; 42; 44; 46	plate (1).jpg; plate-chernyj.jpg; plate-krasnyj-belyj.jpg; plate-sinij-belyj.jpg	Материал верх: 70% вискоза, 25% полиэстер, 5% эластан, вставка: 100% хлопок Длина 90 см (размер 38) Длина рукавов длинный рукав Длина прикрывает колено Цвет красный/белый	Очаровательный ретро-шик модного покроя: платье с очень привлекательными воротничком и манжетами на рукавах! Прямой силуэт и облегающий покрой прекрасно завершают общую картину модели. Длина ок. 98 см (разм. 38). 70% вискоза, 25% полиэстер, 5% эластан	1	0	0	0	699	0000-00-00 00:00:00
8	Трикотажное платье	8	1	7	0	trikotazhnoe-plate.jpg	белый; синий	trikotazhnoe-plate-tsvet-beloj-shersti-chernyj.jpg; trikotazhnoe-plate-sapfirno-sinij-chernyj.jpg	36; 38	trikotazhnoe-plate.jpg; trikotazhnoe-plate (1).jpg; trikotazhnoe-plate (3).jpg; trikotazhnoe-plate (4).jpg; trikotazhnoe-plate (5).jpg; trikotazhnoe-plate-tsvet-beloj-shersti-chernyj.jpg; trikotazhnoe-plate-sapfirno-sinij-chernyj.jpg	Марка BODYFLIRT Материал верх: 72% вискоза, 20% полиэстер, 8% эластан, кружево: 100% полиэстер Длина 90 см (размер 36/38) Длина мини Цвет сапфирно-синий/черный	Привлекательное трикотажное платье с длинным рукавом и изысканной кружевной вставкой в области груди и плеч. Длина ок. 90 см (разм. 36/38). верх: 72% вискоза, 20% полиэстер, 8% эластан, кружево: 100% полиэстер	1	1	0	0	549	0000-00-00 00:00:00
9	Блузка	10	1	2	0	bluzka.jpg	0		0		Марка bpc selection Материал 100% полиэстер Длина 70 см (размер 38) Длина рукавов 7/8 Вырез V-образный Застежка пуговицы Цвет черный	Очаровательная модель облегающего покроя. Спереди с вшитыми складками. Рукав 3/4 с широким низом. Длина от 69 см (разм. 36) до 78 см (разм. 54). Машинная стирка. 100% полиэстер	0	0	NULL	NULL	549	0000-00-00 00:00:00
10	Футболка	11	1	2	0	futbolka (3).jpg	0		0		Марка RAINBOW Материал 100% хлопок Длина 68 см (размер 36/38) Длина рукавов короткий/длинный Вырез круглый Цвет белый с рисунком имен	Остромодная футболка с принтом! Длина ок. 68 см (разм. 36/38). 100% хлопок	0	0	NULL	NULL	199	0000-00-00 00:00:00
